,batch,ctype_ubcupdate,genotype_crct_x,genotype_crct_y,timepoint
88,22018,GABAergic interneuron 1,3.5044293903074517,WT,12wk
89,22018,GABAergic interneuron 2,1.1594580510682648,WT,12wk
90,22018,GABAergic interneuron 3,0.24752475247524752,WT,12wk
91,22018,Granule cell,85.69567483064095,WT,12wk
92,22018,Microglia,0.2996352266805628,WT,12wk
93,22018,Oligodendrocyte,2.1495570609692547,WT,12wk
94,22018,Oligodendrocyte progenitor cell,0.3126628452318916,WT,12wk
95,22018,Pericyte,0.3126628452318916,WT,12wk
96,22018,Purkinje cell,0.638353309015112,WT,12wk
97,22018,Unipolar brush cell,0.18238665971860343,WT,12wk
98,2061,Astrocyte,1.6396979503775622,WT,12wk
99,2061,Bergmann glia,2.459546925566343,WT,12wk
100,2061,Deep cerebellar nuclei,0.10787486515641855,WT,12wk
101,2061,Endothelial cell,0.517799352750809,WT,12wk
102,2061,GABAergic interneuron 1,3.6245954692556634,WT,12wk
103,2061,GABAergic interneuron 2,1.2513484358144553,WT,12wk
104,2061,GABAergic interneuron 3,0.2157497303128371,WT,12wk
105,2061,Granule cell,86.79611650485437,WT,12wk
106,2061,Microglia,0.2157497303128371,WT,12wk
107,2061,Oligodendrocyte,1.8985976267529667,WT,12wk
108,2061,Oligodendrocyte progenitor cell,0.1725997842502697,WT,12wk
109,2061,Pericyte,0.3667745415318231,WT,12wk
110,2061,Purkinje cell,0.517799352750809,WT,12wk
111,2061,Unipolar brush cell,0.2157497303128371,WT,12wk
112,2062,Astrocyte,1.5002273071677528,WT,12wk
113,2062,Bergmann glia,2.00030307622367,WT,12wk
114,2062,Deep cerebellar nuclei,0.5455372026064556,WT,12wk
115,2062,Endothelial cell,0.43946052432186694,WT,12wk
116,2062,GABAergic interneuron 1,3.545991816941961,WT,12wk
117,2062,GABAergic interneuron 2,1.000151538111835,WT,12wk
118,2062,GABAergic interneuron 3,0.28792241248674044,WT,12wk
119,2062,Granule cell,86.31610850128807,WT,12wk
120,2062,Microglia,0.2727686013032278,WT,12wk
121,2062,Oligodendrocyte,2.5458402788301258,WT,12wk
122,2062,Oligodendrocyte progenitor cell,0.2727686013032278,WT,12wk
123,2062,Pericyte,0.40915290195484166,WT,12wk
124,2062,Purkinje cell,0.5909986361569934,WT,12wk
125,2062,Unipolar brush cell,0.2727686013032278,WT,12wk
126,22019,Astrocyte,1.9044437019712663,SCA1,12wk
127,22019,Bergmann glia,2.656197794854661,SCA1,12wk
128,22019,Deep cerebellar nuclei,0.23387905111927834,SCA1,12wk
129,22019,Endothelial cell,0.8185766789174742,SCA1,12wk
130,22019,GABAergic interneuron 1,4.12629468760441,SCA1,12wk
131,22019,GABAergic interneuron 2,1.1359839625793517,SCA1,12wk
132,22019,GABAergic interneuron 3,0.18376211159371866,SCA1,12wk
133,22019,Granule cell,84.99832943534915,SCA1,12wk
134,22019,Microglia,0.3174072836618777,SCA1,12wk
135,22019,Oligodendrocyte,2.104911460073505,SCA1,12wk
136,22019,Oligodendrocyte progenitor cell,0.23387905111927834,SCA1,12wk
137,22019,Pericyte,0.4510524557300367,SCA1,12wk
138,22019,Purkinje cell,0.5846976277981958,SCA1,12wk
139,22019,Unipolar brush cell,0.2505846976277982,SCA1,12wk
